level_0,index,0,1,2,Client_split
19,19,Me:," No problem, how big is the banner going to be and do you know who will be printing it?",Cryptic, no problem  how big is the banner going to be and do you know who will be printing it 
20,20,Client:," Uh, I have no idea, let me measure.",Cryptic, uh  i have no idea  let me measure 
21,21,Me:," OK, while you're doing that, can you forward me a picture of yourself I can use for reference when I draw you?",Cryptic, ok  while you re doing that  can you forward me a picture of yourself i can use for reference when i draw you 
22,22,Me:," So if I'm going to be drawing your face, I'd like to be able to see your face?",Cryptic, so if i m going to be drawing your face  i d like to be able to see your face 
23,23,Client:," Oh yeah, Haha, that makes sense. Just a minute.",Cryptic, oh yeah  haha  that makes sense  just a minute 
24,24,Client:," Ugh, I look so old in this. Why did you draw me with a scruffy beard? Also I'm famous for my smile, why aren't I smiling?",Cryptic, ugh  i look so old in this  why did you draw me with a scruffy beard  also i m famous for my smile  why aren t i smiling 
25,25,Me:," ...ok, please send me a picture of you shaved and smiling then. Did you get that info I asked for yet?",Cryptic,    ok  please send me a picture of you shaved and smiling then  did you get that info i asked for yet 
26,26,Client:, They said to just send a PDF.,Cryptic, they said to just send a pdf 
27,27,Me:, ...what size? And who is printing it?,Cryptic,    what size  and who is printing it 
28,28,Client:," I dunno, I didn't measure yet. Let me get back to you.",Cryptic, i dunno  i didn t measure yet  let me get back to you 
29,29,Client:," It looks alright I guess, but where's the hat and sunglasses? I'm famous for my hat and sunglasses. Also there should be a microphone over my mouth.",Cryptic, it looks alright i guess  but where s the hat and sunglasses  i m famous for my hat and sunglasses  also there should be a microphone over my mouth 
30,30,Me (internally):, ,Cryptic, 
31,31,Me:, OK I'll get those added. Did you get the measurements?,Cryptic, ok i ll get those added  did you get the measurements 
32,32,Client:," Yeah, they said to just send a PDF.",Cryptic, yeah  they said to just send a pdf 
33,33,Me:," WHO said this, and WHAT SIZE should I format the PDF?",Cryptic, who said this  and what size should i format the pdf 
34,34,Client:," I dunno, what's a good size you think?",Cryptic, i dunno  what s a good size you think 
35,35,Me:," You tell me, you're the one that has to frame the shot for the video.",Cryptic, you tell me  you re the one that has to frame the shot for the video 
36,36,Client:," Good point, let me do some measurements.",Cryptic, good point  let me do some measurements 
37,37,Client:," OK, this looks cool. Love it! The banner should be 3 feet tall, four feet wide.",Cryptic, ok  this looks cool  love it  the banner should be   feet tall  four feet wide 
38,38,Client:, They said you were supposed to use their template. Also you didn't add my [local sports team] hoodie to the caricature. I'm famous for that! How fast can you fix this?,Cryptic, they said you were supposed to use their template  also you didn t add my  local sports team  hoodie to the caricature  i m famous for that  how fast can you fix this 
39,39,Me:, ,Cryptic, 
40,40,Client: ,If it could not be exactly the same and stand out as it is slightly different. So the same style but jazzier?,Cryptic,if it could not be exactly the same and stand out as it is slightly different  so the same style but jazzier 
41,41,Client:, We would love to work with you and love your style and ,Cryptic, we would love to work with you and love your style and 
42,42,Client:, So...we looked at your designs and we just don't like them. ,Cryptic, so   we looked at your designs and we just don t like them  
43,43,Me:," OK, sorry we seem to have missed the mark here - these designs were intended as a starting point to get a feel for style and layout. Could give me some feedback about what you did/didn't like about them> This will allow me to improve on the design and develop it into something you will love.",Cryptic, ok  sorry we seem to have missed the mark here   these designs were intended as a starting point to get a feel for style and layout  could give me some feedback about what you did didn t like about them  this will allow me to improve on the design and develop it into something you will love 
44,44,Client:," We love the page with the full photo but don't want anything photo-heavy so don't use any photos here. We want it to look clean and expensive but can you add more text onto the second page to fill the space? But don't listen to me, you're the designer. Also can you make it look like the attached? ",Cryptic, we love the page with the full photo but don t want anything photo heavy so don t use any photos here  we want it to look clean and expensive but can you add more text onto the second page to fill the space  but don t listen to me  you re the designer  also can you make it look like the attached  
45,45,Client:," Yeah, we don't like these designs either - can we put this job on hold?",Cryptic, yeah  we don t like these designs either   can we put this job on hold 
46,46,Client: ,I think that the latest one is one to explore…,Cryptic,i think that the latest one is one to explore 
47,47,Me: ,Great.,Cryptic,great 
48,48,Client: ,"Maybe not though… people don’t seem to like it, haha.",Cryptic,maybe not though  people don t seem to like it  haha 
49,49,Me: ,"Who, exactly?",Cryptic,who  exactly 
50,50,Client: ,I'm uploading these to Facebook and getting people to vote on them.,Cryptic,i m uploading these to facebook and getting people to vote on them 
51,51,Me: ,So I have a committee of hundreds judging my designs? ,Cryptic,so i have a committee of hundreds judging my designs  
52,52,Client: ,Yeah!,Cryptic,yeah 
53,53,Me: ,That explains a lot. ,Cryptic,that explains a lot  
54,54,Client:, I need to speak to a manager right away!,Cryptic, i need to speak to a manager right away 
55,55,Me:," I'm sorry sir, what seems to be the problem?",Cryptic, i m sorry sir  what seems to be the problem 
56,56,Client:, I need you to turn off javascript on my account on your platform!,Cryptic, i need you to turn off javascript on my account on your platform 
57,57,Client:, This looks great! Which version do I show to the client?,Cryptic, this looks great  which version do i show to the client 
58,58,Me:," ...The latest version, of course. Why would you show them versions which they've already made revisions and comments on?",Cryptic,    the latest version  of course  why would you show them versions which they ve already made revisions and comments on 
59,59,Client:," The one with the logo swimming as a fish, right? With the blue background?",Cryptic, the one with the logo swimming as a fish  right  with the blue background 
60,60,Client:, Please alphabetize the lineup.,Cryptic, please alphabetize the lineup 
61,61,Client,": Nevermind, ignore that.""",Cryptic,  nevermind  ignore that  
62,62,Client,: CAN WE PLEASE HAVE THE UPDATED POSTER!,Cryptic,  can we please have the updated poster 
63,63,Me,: Which updates are you looking for exactly?,Cryptic,  which updates are you looking for exactly 
64,64,Client:, A poster with the alphabetized lineup.,Cryptic, a poster with the alphabetized lineup 
65,65,Me:, You told me to ignore that email.,Cryptic, you told me to ignore that email 
66,66,Client:, That's not what I meant.,Cryptic, that s not what i meant 
67,0,Client:, Can you design birthday tags? For candies?,Cryptic, can you design birthday tags  for candies 
68,1,Me:, Sure! What's the theme?,Cryptic, sure  what s the theme 
69,2,Client:," Like this one. I want 50 tags, how much is it?",Cryptic, like this one  i want    tags  how much is it 
70,3,Me:, What's the tag size?,Cryptic, what s the tag size 
71,4,Client:," I don't know, make it like the one in the picture.",Cryptic, i don t know  make it like the one in the picture 
72,5,Me:," Sure, but I can't tell the size from the picture, can you measure it?",Cryptic, sure  but i can t tell the size from the picture  can you measure it 
73,6,Client:," Oh, it's small.",Cryptic, oh  it s small 
74,7,Me:, ... Okay. 3cm?,Cryptic,     okay   cm 
75,8,Client:, I don't know. Like the size of a fridge magnet.,Cryptic, i don t know  like the size of a fridge magnet 
76,9,Me:, ...,Cryptic,    
77,10,Client: ,I am looking for a simple but complex site. ,Cryptic,i am looking for a simple but complex site  
78,11,Client: ,We need to reselect the bathroom floors.,Cryptic,we need to reselect the bathroom floors 
79,12,Me: ,Why?,Cryptic,why 
80,13,Client: ,We're installing next week and it won't be here for four weeks.,Cryptic,we re installing next week and it won t be here for four weeks 
81,14,Client: ,We also need to reselect the foyer material.,Cryptic,we also need to reselect the foyer material 
82,15,Me: ,"Ok, why?",Cryptic,ok  why 
83,16,Client: ,"There's only six pieces in the country, we need seven, and it won't be here for six weeks. We also need to reselect the kitchen counters, they won't be here for eight weeks.",Cryptic,there s only six pieces in the country  we need seven  and it won t be here for six weeks  we also need to reselect the kitchen counters  they won t be here for eight weeks 
84,17,Me: ,We specified these six months ago. Why will they not be there for eight weeks?,Cryptic,we specified these six months ago  why will they not be there for eight weeks 
85,18,Client:, I need a banner with my podcast logo on it and a caricature of me in the lower left. Gonna use it for my [streaming service] videos.,Cryptic, i need a banner with my podcast logo on it and a caricature of me in the lower left  gonna use it for my  streaming service  videos 
86,19,Me:," No problem, how big is the banner going to be and do you know who will be printing it?",Cryptic, no problem  how big is the banner going to be and do you know who will be printing it 
87,20,Client:," Uh, I have no idea, let me measure.",Cryptic, uh  i have no idea  let me measure 
88,21,Me:," OK, while you're doing that, can you forward me a picture of yourself I can use for reference when I draw you?",Cryptic, ok  while you re doing that  can you forward me a picture of yourself i can use for reference when i draw you 
89,22,Me:," So if I'm going to be drawing your face, I'd like to be able to see your face?",Cryptic, so if i m going to be drawing your face  i d like to be able to see your face 
90,23,Client:," Oh yeah, Haha, that makes sense. Just a minute.",Cryptic, oh yeah  haha  that makes sense  just a minute 
91,24,Client:," Ugh, I look so old in this. Why did you draw me with a scruffy beard? Also I'm famous for my smile, why aren't I smiling?",Cryptic, ugh  i look so old in this  why did you draw me with a scruffy beard  also i m famous for my smile  why aren t i smiling 
92,25,Me:," ...ok, please send me a picture of you shaved and smiling then. Did you get that info I asked for yet?",Cryptic,    ok  please send me a picture of you shaved and smiling then  did you get that info i asked for yet 
93,26,Client:, They said to just send a PDF.,Cryptic, they said to just send a pdf 
94,27,Me:, ...what size? And who is printing it?,Cryptic,    what size  and who is printing it 
95,28,Client:," I dunno, I didn't measure yet. Let me get back to you.",Cryptic, i dunno  i didn t measure yet  let me get back to you 
96,29,Client:," It looks alright I guess, but where's the hat and sunglasses? I'm famous for my hat and sunglasses. Also there should be a microphone over my mouth.",Cryptic, it looks alright i guess  but where s the hat and sunglasses  i m famous for my hat and sunglasses  also there should be a microphone over my mouth 
97,30,Me (internally):, ,Cryptic, 
98,31,Me:, OK I'll get those added. Did you get the measurements?,Cryptic, ok i ll get those added  did you get the measurements 
99,32,Client:," Yeah, they said to just send a PDF.",Cryptic, yeah  they said to just send a pdf 
100,33,Me:," WHO said this, and WHAT SIZE should I format the PDF?",Cryptic, who said this  and what size should i format the pdf 
101,34,Client:," I dunno, what's a good size you think?",Cryptic, i dunno  what s a good size you think 
102,35,Me:," You tell me, you're the one that has to frame the shot for the video.",Cryptic, you tell me  you re the one that has to frame the shot for the video 
103,36,Client:," Good point, let me do some measurements.",Cryptic, good point  let me do some measurements 
104,37,Client:," OK, this looks cool. Love it! The banner should be 3 feet tall, four feet wide.",Cryptic, ok  this looks cool  love it  the banner should be   feet tall  four feet wide 
105,38,Client:, They said you were supposed to use their template. Also you didn't add my [local sports team] hoodie to the caricature. I'm famous for that! How fast can you fix this?,Cryptic, they said you were supposed to use their template  also you didn t add my  local sports team  hoodie to the caricature  i m famous for that  how fast can you fix this 
106,39,Me:, ,Cryptic, 
107,40,Client: ,If it could not be exactly the same and stand out as it is slightly different. So the same style but jazzier?,Cryptic,if it could not be exactly the same and stand out as it is slightly different  so the same style but jazzier 
108,41,Client:, We would love to work with you and love your style and ,Cryptic, we would love to work with you and love your style and 
109,42,Client:, So...we looked at your designs and we just don't like them. ,Cryptic, so   we looked at your designs and we just don t like them  
110,43,Me:," OK, sorry we seem to have missed the mark here - these designs were intended as a starting point to get a feel for style and layout. Could give me some feedback about what you did/didn't like about them> This will allow me to improve on the design and develop it into something you will love.",Cryptic, ok  sorry we seem to have missed the mark here   these designs were intended as a starting point to get a feel for style and layout  could give me some feedback about what you did didn t like about them  this will allow me to improve on the design and develop it into something you will love 
111,44,Client:," We love the page with the full photo but don't want anything photo-heavy so don't use any photos here. We want it to look clean and expensive but can you add more text onto the second page to fill the space? But don't listen to me, you're the designer. Also can you make it look like the attached? ",Cryptic, we love the page with the full photo but don t want anything photo heavy so don t use any photos here  we want it to look clean and expensive but can you add more text onto the second page to fill the space  but don t listen to me  you re the designer  also can you make it look like the attached  
112,45,Client:," Yeah, we don't like these designs either - can we put this job on hold?",Cryptic, yeah  we don t like these designs either   can we put this job on hold 
113,46,Client: ,I think that the latest one is one to explore…,Cryptic,i think that the latest one is one to explore 
114,47,Me: ,Great.,Cryptic,great 
115,48,Client: ,"Maybe not though… people don’t seem to like it, haha.",Cryptic,maybe not though  people don t seem to like it  haha 
116,49,Me: ,"Who, exactly?",Cryptic,who  exactly 
117,50,Client: ,I'm uploading these to Facebook and getting people to vote on them.,Cryptic,i m uploading these to facebook and getting people to vote on them 
118,51,Me: ,So I have a committee of hundreds judging my designs? ,Cryptic,so i have a committee of hundreds judging my designs  
119,52,Client: ,Yeah!,Cryptic,yeah 
120,53,Me: ,That explains a lot. ,Cryptic,that explains a lot  
121,54,Client:, I need to speak to a manager right away!,Cryptic, i need to speak to a manager right away 
122,55,Me:," I'm sorry sir, what seems to be the problem?",Cryptic, i m sorry sir  what seems to be the problem 
123,56,Client:, I need you to turn off javascript on my account on your platform!,Cryptic, i need you to turn off javascript on my account on your platform 
124,57,Client:, This looks great! Which version do I show to the client?,Cryptic, this looks great  which version do i show to the client 
125,58,Me:," ...The latest version, of course. Why would you show them versions which they've already made revisions and comments on?",Cryptic,    the latest version  of course  why would you show them versions which they ve already made revisions and comments on 
126,59,Client:," The one with the logo swimming as a fish, right? With the blue background?",Cryptic, the one with the logo swimming as a fish  right  with the blue background 
127,60,Client:, Please alphabetize the lineup.,Cryptic, please alphabetize the lineup 
128,61,Client,": Nevermind, ignore that.""",Cryptic,  nevermind  ignore that  
129,62,Client,: CAN WE PLEASE HAVE THE UPDATED POSTER!,Cryptic,  can we please have the updated poster 
130,63,Me,: Which updates are you looking for exactly?,Cryptic,  which updates are you looking for exactly 
131,64,Client:, A poster with the alphabetized lineup.,Cryptic, a poster with the alphabetized lineup 
132,65,Me:, You told me to ignore that email.,Cryptic, you told me to ignore that email 
133,66,Client:, That's not what I meant.,Cryptic, that s not what i meant 
134,0,Client: ,"This is the character you'll be designing. I don't know what I want, so it's dealer's choice. Just surprise me.",Cryptic,this is the character you ll be designing  i don t know what i want  so it s dealer s choice  just surprise me 
135,1,Me: ,"What do you think? It could really show his character during this point of the story well, and it's expressive.",Cryptic,what do you think  it could really show his character during this point of the story well  and it s expressive 
136,2,Client: ,"Actually, now that I've seen this, I've decided that I don't want that at all. Here are four sketches of different poses I want, and he now has an entirely different appearance than the ones I gave you as reference.",Cryptic,actually  now that i ve seen this  i ve decided that i don t want that at all  here are four sketches of different poses i want  and he now has an entirely different appearance than the ones i gave you as reference 
137,3,Me:," Here’s a few design options, let me know your thoughts so far.",Cryptic, here s a few design options  let me know your thoughts so far 
138,4,Client:, I don’t like them.,Cryptic, i don t like them 
139,5,Me:, What exactly don’t you like?,Cryptic, what exactly don t you like 
140,6,Client:, I don’t know.,Cryptic, i don t know 
141,7,Client: ,What have you been doing this whole time? The catalog looks exactly the same!,Cryptic,what have you been doing this whole time  the catalog looks exactly the same 
142,8,Me: ,"It took this long just to piece together all the jumbled pieces of what was already there to get a sense of where you were. Also, you didn't give me any information, content, direction or tasks since I've been here. I don't know what you want to be changed, I don't know if these products are the right ones, and this is the first I've been able to talk to you since I got here. ",Cryptic,it took this long just to piece together all the jumbled pieces of what was already there to get a sense of where you were  also  you didn t give me any information  content  direction or tasks since i ve been here  i don t know what you want to be changed  i don t know if these products are the right ones  and this is the first i ve been able to talk to you since i got here  
143,9,Client: ,You're the designer. It's your job to figure this out. ,Cryptic,you re the designer  it s your job to figure this out  
144,10,Client:, Can you make it look more Ugandan?,Cryptic, can you make it look more ugandan 
145,11,Client:," Okay... screw the header image of a landscape. I'll cross that road if I need it later, but let's focus on the logo. Everything is less-is-more these days, but that's so old now I'm not biting into it entirely for my future. Art tastes changes. I think baroque muchness is better :)",Cryptic, okay    screw the header image of a landscape  i ll cross that road if i need it later  but let s focus on the logo  everything is less is more these days  but that s so old now i m not biting into it entirely for my future  art tastes changes  i think baroque muchness is better   
146,12,Me:, ....?,Cryptic,      
147,13,Client:," You're super good at texture, so let's start there. Any chance you could make the tree, with a compass key behind work? And surrounded by something symbolic of sun/moon as a round border?",Cryptic, you re super good at texture  so let s start there  any chance you could make the tree  with a compass key behind work  and surrounded by something symbolic of sun moon as a round border 
148,14,Me:, What's a compass key?,Cryptic, what s a compass key 
149,15,Client:, I'm using made-up language. ,Cryptic, i m using made up language  
150,16,Client:, I would like the website background to be purple,Cryptic, i would like the website background to be purple
151,17,Me:," Ok, no problem. Are you able to send me the HEX code, a style guide or perhaps point me to a website with the same color purple you'd like to use?",Cryptic, ok  no problem  are you able to send me the hex code  a style guide or perhaps point me to a website with the same color purple you d like to use 
152,18,Client:," No that's fine, just make it the same purple of a Jacaranda tree flowering in the summer.",Cryptic, no that s fine  just make it the same purple of a jacaranda tree flowering in the summer 
153,19,Me:, (contemplating life choices) ...,Cryptic,  contemplating life choices     
154,20, Client: ,Make this electric blue!,Cryptic,make this electric blue 
155,21,Me:," Can I have an example of ""electric blue""?(",Cryptic, can i have an example of  electric blue   
156,22,Client: (,NOT showing examples) Like pastel! But not easter eggs! (continuing to not show examples),Cryptic,not showing examples  like pastel  but not easter eggs   continuing to not show examples 
157,23,Client: ,"Please change the railing colour to beige or sky blue, and the sky outside to sunset or dusk.",Cryptic,please change the railing colour to beige or sky blue  and the sky outside to sunset or dusk 
158,24,Me: (,"Changes railing to beige, and the sky outside to dusk)",Cryptic,changes railing to beige  and the sky outside to dusk 
159,25,Client: ,"REVISIONS NOT DONE, please do as requested... I wanted the railing sky blue, and the sky to be sunset.",Cryptic,revisions not done  please do as requested    i wanted the railing sky blue  and the sky to be sunset 
160,26,Client:, Do not email me ever again.,Cryptic, do not email me ever again 
161,27,Client:, I don't care what you think.,Cryptic, i don t care what you think 
162,28,Client:, Your whole business is a joke anyway.,Cryptic, your whole business is a joke anyway 
163,29,Client:, All the office are talking about you.,Cryptic, all the office are talking about you 
164,30,Client:, You liar. Absolute complete liar.,Cryptic, you liar  absolute complete liar 
165,31,Client:, Consider yourself blocked.,Cryptic, consider yourself blocked 
166,32,Me:, I'm sorry but I have no idea what this is about. Why am I being blocked?,Cryptic, i m sorry but i have no idea what this is about  why am i being blocked 
167,33,Client:, No not you.,Cryptic, no not you 
168,34,Client:, Please edit the photo. The sky is too brightly dark.,Cryptic, please edit the photo  the sky is too brightly dark 
169,35,Me: ,...what?,Cryptic,   what 
170,0,Client: ,"I'm sorry if my instructions are a little convoluted. I'm gluten-free, you know.",Cryptic,i m sorry if my instructions are a little convoluted  i m gluten free  you know 
171,1,Client: ,"I feel like all the elements are good but I feel the feng shui is a bit off. I don’t know how to suggest to fix it. Anyway, if you find this impossible to understand we can leave it as is it guess.....",Cryptic,i feel like all the elements are good but i feel the feng shui is a bit off  i don t know how to suggest to fix it  anyway  if you find this impossible to understand we can leave it as is it guess     
172,2,Me:, None of this work was in the spec you provided.,Cryptic, none of this work was in the spec you provided 
173,3,Client:, I expect you to know. ,Cryptic, i expect you to know  
174,4,Me:, How?,Cryptic, how 
175,5,Client:, Whenever I deal with agencies I tell them what I want and they make my vision a reality. Why can't you do the same?,Cryptic, whenever i deal with agencies i tell them what i want and they make my vision a reality  why can t you do the same 
176,6,Me:, Because you didn't tell us any of this!,Cryptic, because you didn t tell us any of this 
177,7,Me:, Okay. I need to know a few things before we start on the line edits. How many stories are we expecting in the anthology? Will there be an assistant editor? When will submission be opened from? I'll await your reply. Thank you.,Cryptic, okay  i need to know a few things before we start on the line edits  how many stories are we expecting in the anthology  will there be an assistant editor  when will submission be opened from  i ll await your reply  thank you 
178,8,Client:, Yes.,Cryptic, yes 
179,9,Client:, I think you should put some of the photos back in.,Cryptic, i think you should put some of the photos back in 
180,10,Me:, No problem. Which photos?,Cryptic, no problem  which photos 
181,11,Client:," Well, at 2:12 you took all the photos out.",Cryptic, well  at      you took all the photos out 
