who,category,sentences
Me:,Cryptic, ok  sorry we seem to have missed the mark here   these designs were intended as a starting point to get a feel for style and layout  could give me some feedback about what you did didn t like about them  this will allow me to improve on the design and develop it into something you will love 
Client:,Cryptic, we love the page with the full photo but don t want anything photo heavy so don t use any photos here  we want it to look clean and expensive but can you add more text onto the second page to fill the space  but don t listen to me  you re the designer  also can you make it look like the attached  
Client:,Cryptic, yeah  we don t like these designs either   can we put this job on hold 
Client: ,Cryptic,i think that the latest one is one to explore 
Me: ,Cryptic,great 
Client: ,Cryptic,maybe not though  people don t seem to like it  haha 
Me: ,Cryptic,who  exactly 
Client: ,Cryptic,i m uploading these to facebook and getting people to vote on them 
Me: ,Cryptic,so i have a committee of hundreds judging my designs  
Client: ,Cryptic,yeah 
Me: ,Cryptic,that explains a lot  
Client:,Cryptic, i need to speak to a manager right away 
Me:,Cryptic, i m sorry sir  what seems to be the problem 
Client:,Cryptic, i need you to turn off javascript on my account on your platform 
Client:,Cryptic, this looks great  which version do i show to the client 
Me:,Cryptic,    the latest version  of course  why would you show them versions which they ve already made revisions and comments on 
Client:,Cryptic, the one with the logo swimming as a fish  right  with the blue background 
Client:,Cryptic, please alphabetize the lineup 
Client,Cryptic,  nevermind  ignore that  
Client,Cryptic,  can we please have the updated poster 
Me,Cryptic,  which updates are you looking for exactly 
Client:,Cryptic, a poster with the alphabetized lineup 
Me:,Cryptic, you told me to ignore that email 
Client:,Cryptic, that s not what i meant 
Client:,Cryptic, can you design birthday tags  for candies 
Me:,Cryptic, sure  what s the theme 
Client:,Cryptic, like this one  i want    tags  how much is it 
Me:,Cryptic, what s the tag size 
Client:,Cryptic, i don t know  make it like the one in the picture 
Me:,Cryptic, sure  but i can t tell the size from the picture  can you measure it 
Client:,Cryptic, oh  it s small 
Me:,Cryptic,     okay   cm 
Client:,Cryptic, i don t know  like the size of a fridge magnet 
Me:,Cryptic,    
Client: ,Cryptic,i am looking for a simple but complex site  
Client: ,Cryptic,we need to reselect the bathroom floors 
Me: ,Cryptic,why 
Client: ,Cryptic,we re installing next week and it won t be here for four weeks 
Client: ,Cryptic,we also need to reselect the foyer material 
Me: ,Cryptic,ok  why 
Client: ,Cryptic,there s only six pieces in the country  we need seven  and it won t be here for six weeks  we also need to reselect the kitchen counters  they won t be here for eight weeks 
Me: ,Cryptic,we specified these six months ago  why will they not be there for eight weeks 
Client:,Cryptic, i need a banner with my podcast logo on it and a caricature of me in the lower left  gonna use it for my  streaming service  videos 
Me:,Cryptic, no problem  how big is the banner going to be and do you know who will be printing it 
Client:,Cryptic, uh  i have no idea  let me measure 
Me:,Cryptic, ok  while you re doing that  can you forward me a picture of yourself i can use for reference when i draw you 
Me:,Cryptic, so if i m going to be drawing your face  i d like to be able to see your face 
Client:,Cryptic, oh yeah  haha  that makes sense  just a minute 
Client:,Cryptic, ugh  i look so old in this  why did you draw me with a scruffy beard  also i m famous for my smile  why aren t i smiling 
Me:,Cryptic,    ok  please send me a picture of you shaved and smiling then  did you get that info i asked for yet 
Client:,Cryptic, they said to just send a pdf 
Me:,Cryptic,    what size  and who is printing it 
Client:,Cryptic, i dunno  i didn t measure yet  let me get back to you 
Client:,Cryptic, it looks alright i guess  but where s the hat and sunglasses  i m famous for my hat and sunglasses  also there should be a microphone over my mouth 
Me (internally):,Cryptic, 
Me:,Cryptic, ok i ll get those added  did you get the measurements 
Client:,Cryptic, yeah  they said to just send a pdf 
Me:,Cryptic, who said this  and what size should i format the pdf 
Client:,Cryptic, i dunno  what s a good size you think 
Me:,Cryptic, you tell me  you re the one that has to frame the shot for the video 
Client:,Cryptic, good point  let me do some measurements 
Client:,Cryptic, ok  this looks cool  love it  the banner should be   feet tall  four feet wide 
Client:,Cryptic, they said you were supposed to use their template  also you didn t add my  local sports team  hoodie to the caricature  i m famous for that  how fast can you fix this 
Me:,Cryptic, 
Client: ,Cryptic,if it could not be exactly the same and stand out as it is slightly different  so the same style but jazzier 
Client:,Cryptic, we would love to work with you and love your style and 
Client:,Cryptic, so   we looked at your designs and we just don t like them  
Me:,Cryptic, ok  sorry we seem to have missed the mark here   these designs were intended as a starting point to get a feel for style and layout  could give me some feedback about what you did didn t like about them  this will allow me to improve on the design and develop it into something you will love 
Client:,Cryptic, we love the page with the full photo but don t want anything photo heavy so don t use any photos here  we want it to look clean and expensive but can you add more text onto the second page to fill the space  but don t listen to me  you re the designer  also can you make it look like the attached  
Client:,Cryptic, yeah  we don t like these designs either   can we put this job on hold 
Client: ,Cryptic,i think that the latest one is one to explore 
Me: ,Cryptic,great 
Client: ,Cryptic,maybe not though  people don t seem to like it  haha 
Me: ,Cryptic,who  exactly 
Client: ,Cryptic,i m uploading these to facebook and getting people to vote on them 
Me: ,Cryptic,so i have a committee of hundreds judging my designs  
Client: ,Cryptic,yeah 
Me: ,Cryptic,that explains a lot  
Client:,Cryptic, i need to speak to a manager right away 
Me:,Cryptic, i m sorry sir  what seems to be the problem 
Client:,Cryptic, i need you to turn off javascript on my account on your platform 
Client:,Cryptic, this looks great  which version do i show to the client 
Me:,Cryptic,    the latest version  of course  why would you show them versions which they ve already made revisions and comments on 
Client:,Cryptic, the one with the logo swimming as a fish  right  with the blue background 
Client:,Cryptic, please alphabetize the lineup 
Client,Cryptic,  nevermind  ignore that  
Client,Cryptic,  can we please have the updated poster 
Me,Cryptic,  which updates are you looking for exactly 
Client:,Cryptic, a poster with the alphabetized lineup 
Me:,Cryptic, you told me to ignore that email 
Client:,Cryptic, that s not what i meant 
Client: ,Cryptic,this is the character you ll be designing  i don t know what i want  so it s dealer s choice  just surprise me 
Me: ,Cryptic,what do you think  it could really show his character during this point of the story well  and it s expressive 
Client: ,Cryptic,actually  now that i ve seen this  i ve decided that i don t want that at all  here are four sketches of different poses i want  and he now has an entirely different appearance than the ones i gave you as reference 
Me:,Cryptic, here s a few design options  let me know your thoughts so far 
Client:,Cryptic, i don t like them 
Me:,Cryptic, what exactly don t you like 
Client:,Cryptic, i don t know 
Client: ,Cryptic,what have you been doing this whole time  the catalog looks exactly the same 
Me: ,Cryptic,it took this long just to piece together all the jumbled pieces of what was already there to get a sense of where you were  also  you didn t give me any information  content  direction or tasks since i ve been here  i don t know what you want to be changed  i don t know if these products are the right ones  and this is the first i ve been able to talk to you since i got here  
Client: ,Cryptic,you re the designer  it s your job to figure this out  
Client:,Cryptic, can you make it look more ugandan 
Client:,Cryptic, okay    screw the header image of a landscape  i ll cross that road if i need it later  but let s focus on the logo  everything is less is more these days  but that s so old now i m not biting into it entirely for my future  art tastes changes  i think baroque muchness is better   
Me:,Cryptic,      
Client:,Cryptic, you re super good at texture  so let s start there  any chance you could make the tree  with a compass key behind work  and surrounded by something symbolic of sun moon as a round border 
Me:,Cryptic, what s a compass key 
Client:,Cryptic, i m using made up language  
Client:,Cryptic, i would like the website background to be purple
Me:,Cryptic, ok  no problem  are you able to send me the hex code  a style guide or perhaps point me to a website with the same color purple you d like to use 
Client:,Cryptic, no that s fine  just make it the same purple of a jacaranda tree flowering in the summer 
Me:,Cryptic,  contemplating life choices     
 Client: ,Cryptic,make this electric blue 
Me:,Cryptic, can i have an example of  electric blue   
Client: (,Cryptic,not showing examples  like pastel  but not easter eggs   continuing to not show examples 
Client: ,Cryptic,please change the railing colour to beige or sky blue  and the sky outside to sunset or dusk 
Me: (,Cryptic,changes railing to beige  and the sky outside to dusk 
Client: ,Cryptic,revisions not done  please do as requested    i wanted the railing sky blue  and the sky to be sunset 
Client:,Cryptic, do not email me ever again 
Client:,Cryptic, i don t care what you think 
Client:,Cryptic, your whole business is a joke anyway 
Client:,Cryptic, all the office are talking about you 
Client:,Cryptic, you liar  absolute complete liar 
Client:,Cryptic, consider yourself blocked 
Me:,Cryptic, i m sorry but i have no idea what this is about  why am i being blocked 
Client:,Cryptic, no not you 
Client:,Cryptic, please edit the photo  the sky is too brightly dark 
Me: ,Cryptic,   what 
Client: ,Cryptic,i m sorry if my instructions are a little convoluted  i m gluten free  you know 
Client: ,Cryptic,i feel like all the elements are good but i feel the feng shui is a bit off  i don t know how to suggest to fix it  anyway  if you find this impossible to understand we can leave it as is it guess     
Me:,Cryptic, none of this work was in the spec you provided 
Client:,Cryptic, i expect you to know  
Me:,Cryptic, how 
Client:,Cryptic, whenever i deal with agencies i tell them what i want and they make my vision a reality  why can t you do the same 
Me:,Cryptic, because you didn t tell us any of this 
Me:,Cryptic, okay  i need to know a few things before we start on the line edits  how many stories are we expecting in the anthology  will there be an assistant editor  when will submission be opened from  i ll await your reply  thank you 
Client:,Cryptic, yes 
Client:,Cryptic, i think you should put some of the photos back in 
Me:,Cryptic, no problem  which photos 
Client:,Cryptic, well  at      you took all the photos out 
Me:,Cryptic, ah  yes  that was what you requested  which ones do you want me to put back in 
Client:,Cryptic, well  not that one or that one  but some of these others 
Me:,Cryptic, sorry  i can t see what you re looking at  can you be more specific 
Client:,Cryptic, take out the ones with the board members 
Me:,Cryptic, those are all photos of the board members 
Client:,Cryptic, well  put some back in  but not the ones we don t want 
Me:,Cryptic, i m having a hard time understanding which photos you re referring to  can you send me time codes of the ones you want me to add back into the video 
Client:,Cryptic, sure 
Client:,Cryptic,  email  at       there were photos  put some of them back in 
Client:,Cryptic, their hands were all up 
Me: ,Cryptic,they were waving  
Client:,Cryptic, sorry  it s not waving  just like hitler way 
Client:,Cryptic, they raised their hands up 
Me:,Cryptic, like  a nazi salute 
Client:,Cryptic, almost 
Client:,Cryptic, not exactly 
Client:,Cryptic, up until their eyes 
Client:,Cryptic, you know like military 
Me:,Cryptic, so  a regular salute 
Client:,Cryptic, thanks 
Me:,Cryptic, is it    or    bits 
Client: ,Cryptic, yes 
Client: ,Cryptic,why are you quitting 
Me: ,Cryptic, reading her last that she sent to me  have the  nd home page faded out to into the opaque and used on each of the three pages  use also the other purple  not that other one  i want each page to pop and be personal and welcoming  
Me:,Cryptic, alright  so what kind of design does he want for his logo
Friend:,Cryptic, he says  make a design that you think i will like  i m going on vacation for about a week so i ll look at what you have made when i get back  
Me:,Cryptic, can you please ask him for 
Friend:,Cryptic, he said  something e sporty  
Client,Cryptic,  the hand looks too human  please use a hand that looks more like god s 
Me,Cryptic,  what s a rainbow factory 
Client,Cryptic,  what do you mean  it s the factory where they make rainbows 
Me,Cryptic,  what does it look like 
Client,Cryptic,  like 
Client,Cryptic,  why is the rainbow factory on the ground  and why does it have smoke stacks  it s supposed to be in the sky and if it creates smoke then it s polluting the planet  and why is there a rainbow coming out of it  i didn t tell you to do that  now do it again and do it right 
Client: ,Cryptic,hey  we re making a banner and we need you to write down the company name and slogan  do it quickly in word or something 
Me: ,Cryptic,what are the dimensions of the banner  is there going to be anything else on it  should i add images or make it plain 
Client: ,Cryptic,i m not sure  just make it and send it soon because we re going to print it today  i think you should add images  
Friend:,Cryptic, i need a present for my boyfriend for christmas  will you help me 
Me: ,Cryptic,sure  what are you thinking about 
Friend: ,Cryptic,i don t know  something cool  just 
Me:,Cryptic, umm  what does he like 
Friend: ,Cryptic,you know  guy stuff  thanks for doing this for me  i would have had to pay anywhere else 
Me: ,Cryptic,wait  what 
Client: ,Cryptic, a href  http   clientsfromhell net post             client can we change the heading font to more  i don t like the font you re using  a 
Me: ,Cryptic,ok that should be easy to change  what do you have in mind 
Client: ,Cryptic,something that stands out a bit more  something with a bit of punch  something that makes a statement   something like this for instance 
Client:,Cryptic, i need a photo that symbolizes the need for global communication in an economic perspective 
Me: ,Cryptic,ok  can you be more specific about what you have in mind 
Client:,Cryptic, no  not really  and while you re at it  if you come across a really good picture   i mean 
Line Manager:,Cryptic, good news  the client has paid for extra bandwidth for the larger formats 
Me:,Cryptic, that s great  can you find out what the new file size cap is  then i can judge how best to keep the balance between quality file size 
Line Manager:,Cryptic, ok  i ll check with the client 
Line Manager:,Cryptic, he said  big enough to be sharper  
Me:,Cryptic, please send me a specific description and size of the picture 
Client:,Cryptic, it s an illustration for a full book page 
Me:,Cryptic, what is the size of your book 
Client:,Cryptic, 
Me: ,Cryptic,do you have any changes for the poster 
Client: ,Cryptic,well i m not a designer  so i can t offer any practical suggestions  but i do know what i like and don t like  try doing a 
Client:,Cryptic, i just saw the art  and it looks great  let s finalize and print it 
Me:,Cryptic, ok  just to confirm  is it approved 
Client:,Cryptic, no  i need to show it to my boss first 
Client’s Boss:,Cryptic, please make these changes 
Me:,Cryptic, ok  how s this 
Client’s Boss:,Cryptic, looks great  let s finish this up  i love it 
Me:,Cryptic, ok  again  just to confirm  is it approved 
Client’s Boss:,Cryptic, no  it needs to go to the 
Client’s Boss:,Cryptic, ok  here are the final changes  after this  it s final 
Me:,Cryptic, ok  how s this 
Client’s Boss:,Cryptic, perfect  done 
Me:,Cryptic, ok  just to confirm  is it approved 
Client’s Boss:,Cryptic, no  we need to show it around internally to see if there s anything anyone else wants to add  i ll let you know  it could be awhile 
Client:,Cryptic,   s   like pirates and quill pens 
Me: ,Cryptic,oh  you mean the 
Client:,Cryptic, yeah    th century    s  same thing 
Me:,Cryptic, the   s generally refer to the     s 
Client:,Cryptic, i like the blue one best 
Me:,Cryptic, sorry  which one is that 
Client:,Cryptic, i said the blue one
Me:,Cryptic, we have four blue ones  can you give me the number so i know which one you re talking about 
Client:,Cryptic, ok  it s number   
Client:,Cryptic, write x but circle it  circle it so that it shows it s not so important 
Me:,Cryptic, but a circle would make it stand out 
Client: ,Cryptic,no  no  not a 
Me:,Cryptic,  patience ebbing  we can put it in parentheses  is that what you mean 
Client:,Cryptic, no  like the little circles that are on the   and the   on the keyboards 
Me:,Cryptic, yes those are parentheses  like brackets 
Client:,Cryptic, yes  yes  brackets  that s what i meant  but just not so square  
Me: ,Cryptic,what genre would your 
Client:,Cryptic, okay 
Me:,Cryptic, well  we could meet up in person to discuss the project further 
Client:,Cryptic, sounds good to me  
Me:,Cryptic, alright  what time would you like to meet 
Client:,Cryptic, yes 
Client:,Cryptic, i want you to use this logo  but  just have more letters  you know 
Me:,Cryptic, no  i don t know what you mean  
Client:,Cryptic, just  more letters  
Client:,Cryptic,  the circles aren t round enough 
Me:,Cryptic, how so 
Client:,Cryptic, they aren t as round as i was expecting 
Client:,Cryptic, i can t see pad if  
Me:,Cryptic, i m sorry  how would you need the files  indesign isn t required for anything i send you 
Client:,Cryptic, all i ve gotten is pad if  i can t see those without indesign  send me the original file  not pad if 
Me:,Cryptic, um  the original file is indesign  but i can send you a pdf oh  i get it now  you meant pdf  you can see pdfs without indesign  it s a pretty universal format 
Client:,Cryptic, i don t have an ipad either  just don t send me any pads 
Client:,Cryptic, i m not really thrilled with either of 
Me:,Cryptic, they both already have globes in them  so i m not sure what you mean  but i ll try 
Client:,Cryptic, this is really close  but can you make them more vibrant 
Me:,Cryptic, well  your colors are navy blue and black 
Client:,Cryptic, i know  keep the colors  but i don t know  just make them more vibrant  they re not vibrant enough 
Me:,Cryptic, so  what type of logo are you looking for  something professional  fun  simple  elegant  animated  vectorized  
Client:,Cryptic, 
Me:,Cryptic, i m sorry  but what do you mean by yes 
Client:,Cryptic, i want all of those descriptions 
Me:,Cryptic, umm  can you give me more insight on what you are looking for 
Client:,Cryptic, i want something professional  but fun  simple  but elegant  and i am not sure what vectorized means  but it sounds good 
Me:,Cryptic, ok  let s start with the color scheme  what are the primary colors you want in your logo 
Client:,Cryptic, i m not sure  just make something good and i ll know when i see it 
Client:,Cryptic, yeah  this is no good  you need to 
Me:,Cryptic, mysterious  
Client:,Cryptic, yes  we don t want our doctors looking mysterious  
Client:,Cryptic, i want this done by the end of the week  it s taking forever 
Me:,Cryptic, i m sorry  i didn t realize you wanted it done so soon  in our initial discussion about the job  you said there was 
Client:,Cryptic, to me  no huge rush  means  not today  
Me: ,Cryptic,i ve attached four different options for the cover page  please let me know which one you prefer so 
Client: ,Cryptic,yes  i like the images  
Me:,Cryptic, since we are on such a tight schedule  could you please be more precise when giving me feedback on this 
Client:,Cryptic, it needs to look a bit nicer  
Me:,Cryptic, can i get you to make me a visual palette of colors you d like  so i can have a better idea of what to work off of 
Client:,Cryptic, golden orangey  black like blue  purplish blue  berry purple  dusky gray purple 
Client:,Cryptic, can we make it sound more green 
Me: ,Cryptic,you mean  like  environmentally friendly 
Client:,Cryptic, no  like the colour  
Client:,Cryptic, can i 
Me:,Cryptic, sure 
Client:,Cryptic, no 
Me:,Cryptic, pardon 
Client:,Cryptic, no  just no 
Me:,Cryptic, to everything i just showed you 
Client:,Cryptic, yeah  no 
Client:,Cryptic, can you make it 
Me:,Cryptic, do you mean grey 
Client:,Cryptic, no  less black 
Me:,Cryptic, well there s black or there s no black 
Client:,Cryptic, we want black  we just want the black to be less black  like half 
Client: ,Cryptic, we want something like a ghost with a martini 
Client: ,Cryptic,we want a ghost with a martini  but we don t want there to be alcohol because this is a kid friendly event  and we don t want there to be a ghost because that s too scary  but 
Client:,Cryptic, i like the layout  but can you dial up the cool factor 
Me:,Cryptic, can you 
Client:,Cryptic, i don t know  just make it cooler  but don t change it too much   my boss has already approved it 
Me:,Cryptic, i m not sure how to help   can you give me some guidance 
Client:,Cryptic, yes  just dial up the cool factor 
Client:,Cryptic, i want something original and unique  you know  something never seen before 
Client:,Cryptic, what is this 
Me:,Cryptic, you said you 
Client: ,Cryptic,yeah  but i meant something everybody would recognize  couldn t you just use an existing design or template 
Client:,Cryptic, i don t like the designs you ve sent over  please change them 
Me:,Cryptic, what do you not like about them specifically  
Client:,Cryptic, please refer to my email from monday  i don t have time at the moment 
Client:,Cryptic, hi  i don t like this design   please change it 
Me:,Cryptic, okay  so we want larger thumbnails  do you want two or three thumbnails per row 
Client:,Cryptic, how about somewhere between   and   
Client:,Cryptic, i need a profile image for my website 
Me:,Cryptic, no problem  what are the dimensions 
Client:,Cryptic, square with a little bit rectangle 
Client:,Cryptic, take the prices off of each item 
Me:,Cryptic, how will people know how much each item costs 
Client:,Cryptic, i don t want the prices to be the 
Me:,Cryptic, isn t this an online store where people can purchase your products 
Client:,Cryptic, no  it s a gallery where people can purchase my products 
Me:,Cryptic, without knowing the price 
Client:,Cryptic, yes  also change the header from  gallery  to  shop  
Me:,Cryptic, would you like this poster designed in landscape or portrait orientation 
Client:,Cryptic, yes 
Me:,Cryptic, okay  let me take a look 
Me:,Cryptic, you said page three  correct 
Client:,Cryptic, yes  there are too many widows  i can t stand widows  you need to fix them 
Me:,Cryptic, i m sorry  but 
Client:,Cryptic, too  many  widows 
Me:,Cryptic, it s just that i just don t see any 
Client:,Cryptic, at the end of line    and line    and line    and line     they re there 
Me:,Cryptic, oh  you mean the hyphens 
Client:,Cryptic, hyphens  widows  
Client:,Cryptic, in the first proof you sent me  the blue is too dark  now it s too light 
Me:,Cryptic, do you have a 
Client:,Cryptic, the blue needs to be the colour of the sky on a beach in turkey 
Client: ,Cryptic,i need you to draw a picture for me 
Me: ,Cryptic,okay  what will this picture be of 
Client: ,Cryptic,do you know the chinese cherry blossom flower 
Me: ,Cryptic,yes  
Client: ,Cryptic,i want you to draw it for me 
Me: ,Cryptic,can you be more specific  as a logo  a header  a specific design 
Client: ,Cryptic,i want you to draw a chinese cherry blossom flower for me 
Me:,Cryptic, i m sorry to hear that the committee doesn t find the logo designs inspiring  i wonder if you could give me some more guidance  all i have for feedback is that  they need more oomph  
Client:,Cryptic, well  they re just a little plain  can t you add a knife and fork  or maybe a wheat sheaf  the group felt they need 
Client:,Cryptic, the presentation looks great   just a couple of fixes  can you make the slide titles follow  example  format  and make the plot axis labels bigger 
Me:,Cryptic, sure 
Client:,Cryptic, that s much better   can you add slide numbers 
Me:,Cryptic, yep   
Client:,Cryptic, yeah  that s looking great   can you change the colors on the plots to  example  
Me:,Cryptic, no problem 
Client:,Cryptic, okay  great  yeah  it s looking really good   just needs a little touching up and it ll be ready to go 
Me:,Cryptic, sure  what does it need 
Client:,Cryptic,  well  i guess it s fine  it ll be okay 
Me:,Cryptic, i ll make any changes you want done  what is looking unfinished to you 
Client:,Cryptic, no  it s okay  i guess it ll work 
Me:,Cryptic, are you sure   i ll be happy to change anything you d like before we put it out 
Client:,Cryptic, no  just go ahead and submit it as is  once you ve finished 
Client:,Cryptic, i need you to 
Me:,Cryptic, this hand is actually extremely warm  it doesn t match the rest of the skin   i ll balance it out 
Client:,Cryptic, i said it was too cold   warm it up 
Client:,Cryptic, why is it more red   i said to warm it up 
Me:,Cryptic, usually  more red and yellow means warmer  while more blue and cyan means colder 
Client:,Cryptic, i meant that the model s hand was cold in the studio  look how red it looks  that s because it was too cold in there that day 
Me:,Cryptic, so i ll just  warm it up  by making it look cooler 
Client:,Cryptic, yeah  that s great  why was that so hard   didn t they teach you this in art school 
Client:,Cryptic,     we don t like your writing  it s too ballsy  braggy and makes us look like we are too full of ourselves 
Client:,Cryptic,      yeah  yeah  tone it down  you make us seem as if we show off  be subtle 
Me:,Cryptic, ok  i m hearing you  let me know what you want me to point out about your motorbikes  
Client:,Cryptic,     well  we invented the category  now we reinvented it again  as we always do when we launch a new product  there s literally no one close to our product s standard  it s unparalleled  there s no terrain or turf worldwide that our bikes can t handle  they re the ultimate in any and all aspects  basically  every part is new  redesigned  or both 
Client:,Cryptic,     be sure to repeat all this  
Client:,Cryptic,     but this time be subtle 
Client:,Cryptic, i feel like the current design you did is great  but it s not serious enough  thoughts 
Me: ,Cryptic,can you be more specific on what do you mean by not serious enough  
Client:,Cryptic, i m not sure how to elaborate  something more corporate  maybe 
Me: ,Cryptic,that helps  but  corporate  doesn t give a clear idea on what or how you would like the design to be  if you are not sure how to explain what needs to change  perhaps you could give me an example or reference 
Client: ,Cryptic,if i have to 
